filename,description,notebook,cell_reference,analysis_step,date_produced
sample_ecg.png,Raw ECG signal plot for Physionet record A00001 — single-lead ECG at 300 Hz showing amplitude over samples,01_data_exploration.ipynb,Cell 2,Phase 1 — Data Exploration,1/2/2026
aw_vs_physionet_distributions.png,8-subplot KDE overlay comparing Apple Watch feature distributions against Physionet training distributions for all 8 locked features,04_layer2_analysis.ipynb,Cell 3,Phase 6 — Gap Quantification,1/3/2026
class_distribution_2026.png,Two-panel class distribution: 3-class breakdown (N/A/O) and binary label collapse (Normal vs Abnormal) for Physionet 2017 training data,06_technical_report.ipynb,Cell 4,Section 2 — Data Sources,3/20/2026
pipeline_flowchart_2026.png,"End-to-end pipeline flowchart: Layer 1 (ECG training), Layer 2 (wearable validation), and BeatCheck app — colour-coded by layer",06_technical_report.ipynb,Cell 5,Section 2 — Architecture,3/20/2026
feature_descriptions_2026.png,"Horizontal bar chart of 8 locked features ordered by Random Forest importance, annotated with plain-English descriptions",06_technical_report.ipynb,Cell 6,Section 2 — Feature Engineering,3/20/2026
feature_distributions_by_class_2026.png,2x4 violin plot grid showing all 8 feature distributions split by Normal (green) vs Abnormal (red) class — Physionet training data,06_technical_report.ipynb,Cell 7,Section 2 — EDA,3/20/2026
feature_correlation_heatmap_2026.png,"Pearson correlation heatmap for all 8 locked features — lower triangle, coolwarm colourmap, annotated coefficients",06_technical_report.ipynb,Cell 8,Section 2 — EDA,3/20/2026
model_comparison_scorecard_2026.png,"Grouped bar chart comparing 4 models on validation set sensitivity, specificity and AUROC — SVM annotated as winner, RF/XGB flagged for overfitting",06_technical_report.ipynb,Cell 9,Section 2 — Model Selection,3/20/2026
roc_curve_svm_layer1_2026.png,"ROC curve for SVM on Layer 1 held-out test set with shaded AUC, operating point at threshold 0.34 annotated — AUROC 0.8913",06_technical_report.ipynb,Cell 10,Section 2 — Model Evaluation,3/20/2026
confusion_matrix_svm_layer1_2026.png,"Colour-coded 2x2 confusion matrix for SVM at threshold 0.34 on Layer 1 test set — TP=265, FP=64, FN=49, TN=441 with plain-English labels",06_technical_report.ipynb,Cell 11,Section 2 — Model Evaluation,3/20/2026
